customer_id,recency_days,recency_score,purchase_count,frequency_score,total_revenue,monetary_score,rfm_total_score,customer_segment
CUST0000050,13,5,16,4,16715.61,5,14,Champions
CUST0000051,81,4,14,4,21104.829999999998,5,13,Champions
CUST0000052,105,3,9,2,2414.44,1,6,Standard Loyal
CUST0000053,63,4,16,4,23532.29,5,13,Champions
CUST0000054,6,5,13,3,7095.71,2,10,Standard Loyal
CUST0000055,27,5,13,3,7199.78,3,11,Standard Loyal
CUST0000056,43,4,7,2,731.8100000000001,1,7,Standard Loyal
CUST0000057,8,5,13,3,7748.3099999999995,3,11,Standard Loyal
CUST0000058,30,5,15,4,6700.99,2,11,Loyal Frequent
CUST0000059,147,3,12,3,10929.71,4,10,High-Value Loyal
CUST0000060,13,5,15,4,3662.31,1,10,Loyal Frequent
CUST0000061,81,4,9,2,3270.07,1,7,Standard Loyal
CUST0000062,16,5,15,4,17898.95,5,14,Champions
CUST0000063,64,4,11,3,10023.5,3,10,Standard Loyal
CUST0000064,129,3,13,3,11303.63,4,10,High-Value Loyal
CUST0000065,45,4,12,3,4902.71,2,9,Standard Loyal
CUST0000066,40,4,7,2,5174.31,2,8,Standard Loyal
CUST0000067,4,5,16,4,12256.57,4,13,Champions
CUST0000068,18,5,15,4,16933.36,5,14,Champions
CUST0000069,36,4,9,2,6596.94,2,8,Standard Loyal
CUST0000070,17,5,11,3,5974.7,2,10,Standard Loyal
CUST0000071,0,5,13,3,12172.369999999999,4,12,High-Value Loyal
CUST0000072,26,5,12,3,7421.83,3,11,Standard Loyal
CUST0000073,419,1,5,2,2864.18,1,4,At-Risk Standard
CUST0000074,73,4,11,3,5895.85,2,9,Standard Loyal
CUST0000075,5,5,9,2,1254.11,1,8,Standard Loyal
CUST0000076,18,5,16,4,7568.18,3,12,Loyal Frequent
CUST0000077,54,4,12,3,11019.95,4,11,High-Value Loyal
CUST0000078,17,5,6,2,983.9599999999999,1,8,Standard Loyal
CUST0000079,18,5,7,2,9060.57,3,10,Standard Loyal
CUST0000080,60,4,9,2,3094.41,1,7,Standard Loyal
CUST0000081,56,4,8,2,11187.75,4,10,High-Value Loyal
CUST0000082,17,5,13,3,16890.56,5,13,High-Value Loyal
CUST0000083,8,5,8,2,9233.45,3,10,Standard Loyal
CUST0000084,20,5,8,2,816.3299999999999,1,8,Standard Loyal
CUST0000085,18,5,11,3,11871.36,4,12,High-Value Loyal
CUST0000086,58,4,13,3,8867.800000000001,3,10,Standard Loyal
CUST0000087,29,5,13,3,8515.24,3,11,Standard Loyal
CUST0000088,3,5,10,3,10222.88,3,11,Standard Loyal
CUST0000089,6,5,9,2,3688.8599999999997,1,8,Standard Loyal
CUST0000090,58,4,14,4,4707.18,2,10,Loyal Frequent
CUST0000091,51,4,11,3,6934.84,2,9,Standard Loyal
CUST0000092,32,4,9,2,7167.16,3,9,Standard Loyal
CUST0000093,32,4,13,3,10612.97,4,11,High-Value Loyal
CUST0000094,23,5,9,2,4545.009999999999,2,9,Standard Loyal
CUST0000095,48,4,15,4,10135.85,3,11,Loyal Frequent
CUST0000096,31,4,13,3,8875.07,3,10,Standard Loyal
CUST0000097,4,5,12,3,5626.33,2,10,Standard Loyal
CUST0000098,36,4,16,4,13560.63,4,12,High-Value Loyal
CUST0000099,2,5,8,2,1568.31,1,8,Standard Loyal
CUST0000100,25,5,17,4,7523.21,3,12,Loyal Frequent
CUST0000101,82,4,12,3,6269.33,2,9,Standard Loyal
CUST0000102,31,4,10,3,9935.64,3,10,Standard Loyal
CUST0000103,69,4,8,2,2398.0,1,7,Standard Loyal
CUST0000104,0,5,10,3,5457.56,2,10,Standard Loyal
CUST0000105,53,4,14,4,5275.87,2,10,Loyal Frequent
CUST0000106,41,4,11,3,6496.55,2,9,Standard Loyal
CUST0000107,25,5,16,4,15580.37,5,14,Champions
CUST0000108,9,5,14,4,12066.99,4,13,Champions
CUST0000109,16,5,16,4,9966.189999999999,3,12,Loyal Frequent
CUST0000110,24,5,17,4,12886.189999999999,4,13,Champions
CUST0000111,30,5,13,3,5703.28,2,10,Standard Loyal
CUST0000112,77,4,9,2,5200.0599999999995,2,8,Standard Loyal
CUST0000113,6,5,11,3,5159.18,2,10,Standard Loyal
CUST0000114,348,2,8,2,2250.12,1,5,At-Risk Standard
CUST0000115,111,3,12,3,4965.27,2,8,Standard Loyal
CUST0000116,40,4,14,4,9305.25,3,11,Loyal Frequent
CUST0000117,108,3,15,4,7314.26,3,10,Loyal Frequent
CUST0000118,51,4,18,5,14496.45,4,13,Champions
CUST0000119,8,5,12,3,14754.54,4,12,High-Value Loyal
CUST0000120,3,5,10,3,6030.53,2,10,Standard Loyal
CUST0000121,5,5,15,4,13361.35,4,13,Champions
CUST0000122,72,4,9,2,12782.76,4,10,High-Value Loyal
CUST0000123,79,4,7,2,1405.06,1,7,Standard Loyal
CUST0000124,45,4,12,3,13667.18,4,11,High-Value Loyal
CUST0000125,11,5,18,5,14791.880000000001,4,14,Champions
CUST0000126,77,4,5,2,1846.4,1,7,Standard Loyal
CUST0000127,13,5,14,4,1942.74,1,10,Loyal Frequent
CUST0000128,11,5,14,4,8994.8,3,12,Loyal Frequent
CUST0000129,32,4,11,3,3022.63,1,8,Standard Loyal
CUST0000130,10,5,18,5,10891.710000000001,4,14,Champions
CUST0000131,5,5,10,3,2101.36,1,9,Standard Loyal
CUST0000132,7,5,16,4,8188.12,3,12,Loyal Frequent
CUST0000133,21,5,13,3,4181.24,1,9,Standard Loyal
CUST0000134,6,5,16,4,12099.05,4,13,Champions
CUST0000135,2,5,11,3,4610.55,2,10,Standard Loyal
CUST0000136,44,4,15,4,7254.48,3,11,Loyal Frequent
CUST0000137,112,3,18,5,8288.23,3,11,Loyal Frequent
CUST0000138,5,5,11,3,1113.29,1,9,Standard Loyal
CUST0000139,16,5,12,3,4441.49,2,10,Standard Loyal
CUST0000140,14,5,20,5,13535.92,4,14,Champions
CUST0000141,4,5,15,4,11815.27,4,13,Champions
CUST0000142,15,5,14,4,14766.99,4,13,Champions
CUST0000143,148,3,9,2,4836.06,2,7,Standard Loyal
CUST0000144,7,5,17,4,11389.62,4,13,Champions
CUST0000145,0,5,20,5,7635.16,3,13,Champions
CUST0000146,86,4,9,2,12298.31,4,10,High-Value Loyal
CUST0000147,38,4,8,2,2298.1,1,7,Standard Loyal
CUST0000148,11,5,9,2,7718.88,3,10,Standard Loyal
CUST0000149,32,4,15,4,12483.42,4,12,High-Value Loyal
CUST0000150,22,5,15,4,14023.81,4,13,Champions
CUST0000151,12,5,18,5,5684.799999999999,2,12,Loyal Frequent
CUST0000152,117,3,12,3,3882.3999999999996,1,7,Standard Loyal
CUST0000153,25,5,10,3,7072.8,2,10,Standard Loyal
CUST0000154,4,5,13,3,4956.16,2,10,Standard Loyal
CUST0000155,101,3,12,3,4426.78,2,8,Standard Loyal
CUST0000156,2,5,13,3,10422.84,3,11,Standard Loyal
CUST0000157,19,5,10,3,4557.95,2,10,Standard Loyal
CUST0000158,13,5,14,4,8454.19,3,12,Loyal Frequent
CUST0000159,45,4,11,3,8593.1,3,10,Standard Loyal
CUST0000160,7,5,15,4,8784.42,3,12,Loyal Frequent
CUST0000161,24,5,10,3,1696.63,1,9,Standard Loyal
CUST0000162,86,4,11,3,3887.2,1,8,Standard Loyal
CUST0000163,30,5,2,2,549.99,1,8,Standard Loyal
CUST0000164,1,5,11,3,16290.740000000002,5,13,High-Value Loyal
CUST0000165,102,3,10,3,3348.4700000000003,1,7,Standard Loyal
CUST0000166,61,4,12,3,8947.130000000001,3,10,Standard Loyal
CUST0000167,34,4,10,3,6805.15,2,9,Standard Loyal
CUST0000168,91,3,5,2,2025.88,1,6,Standard Loyal
CUST0000169,154,3,6,2,608.79,1,6,Standard Loyal
CUST0000170,30,5,11,3,7348.51,3,11,Standard Loyal
CUST0000171,0,5,10,3,14634.839999999998,4,12,High-Value Loyal
CUST0000172,19,5,18,5,10378.53,3,13,Champions
CUST0000173,8,5,7,2,3339.61,1,8,Standard Loyal
CUST0000174,22,5,17,4,5002.95,2,11,Loyal Frequent
CUST0000175,180,3,13,3,2735.66,1,7,Standard Loyal
CUST0000176,21,5,12,3,8423.35,3,11,Standard Loyal
CUST0000177,18,5,16,4,18656.92,5,14,Champions
CUST0000178,53,4,13,3,7551.2,3,10,Standard Loyal
CUST0000179,74,4,14,4,6100.58,2,10,Loyal Frequent
CUST0000180,66,4,12,3,2519.18,1,8,Standard Loyal
CUST0000181,7,5,8,2,4020.35,1,8,Standard Loyal
CUST0000182,86,4,13,3,8502.02,3,10,Standard Loyal
CUST0000183,0,5,12,3,7162.09,3,11,Standard Loyal
CUST0000184,2,5,8,2,7596.13,3,10,Standard Loyal
CUST0000185,33,4,11,3,5773.14,2,9,Standard Loyal
CUST0000186,8,5,12,3,6222.200000000001,2,10,Standard Loyal
CUST0000187,6,5,14,4,9918.77,3,12,Loyal Frequent
CUST0000188,15,5,6,2,531.52,1,8,Standard Loyal
CUST0000189,83,4,12,3,4531.08,2,9,Standard Loyal
CUST0000190,71,4,9,2,5224.88,2,8,Standard Loyal
CUST0000191,0,5,7,2,2505.81,1,8,Standard Loyal
CUST0000192,9,5,17,4,3469.71,1,10,Loyal Frequent
CUST0000193,71,4,14,4,10188.15,3,11,Loyal Frequent
CUST0000194,13,5,8,2,2359.9,1,8,Standard Loyal
CUST0000195,62,4,15,4,10449.98,3,11,Loyal Frequent
CUST0000196,36,4,9,2,4685.070000000001,2,8,Standard Loyal
CUST0000197,82,4,14,4,11811.76,4,12,High-Value Loyal
CUST0000198,7,5,18,5,8090.73,3,13,Champions
CUST0000199,51,4,14,4,7332.780000000001,3,11,Loyal Frequent
CUST0000200,193,2,5,2,197.82,1,5,At-Risk Standard
CUST0000201,36,4,10,3,7094.639999999999,2,9,Standard Loyal
CUST0000202,42,4,14,4,4211.719999999999,1,9,Loyal Frequent
CUST0000203,119,3,13,3,11388.05,4,10,High-Value Loyal
CUST0000204,35,4,11,3,7434.01,3,10,Standard Loyal
CUST0000205,77,4,10,3,5056.6900000000005,2,9,Standard Loyal
CUST0000206,17,5,12,3,7187.51,3,11,Standard Loyal
CUST0000207,88,4,16,4,9284.73,3,11,Loyal Frequent
CUST0000208,9,5,15,4,11598.68,4,13,Champions
CUST0000209,55,4,7,2,2541.75,1,7,Standard Loyal
CUST0000210,1,5,17,4,7560.63,3,12,Loyal Frequent
CUST0000211,79,4,6,2,8391.050000000001,3,9,Standard Loyal
CUST0000212,0,5,22,5,5575.74,2,12,Loyal Frequent
CUST0000213,22,5,12,3,5639.96,2,10,Standard Loyal
CUST0000214,0,5,15,4,5334.67,2,11,Loyal Frequent
CUST0000215,0,5,14,4,5677.28,2,11,Loyal Frequent
CUST0000216,126,3,10,3,9953.41,3,9,Standard Loyal
CUST0000217,21,5,16,4,22438.0,5,14,Champions
CUST0000218,47,4,15,4,15225.05,5,13,Champions
CUST0000219,7,5,9,2,2104.5,1,8,Standard Loyal
CUST0000220,95,3,11,3,8459.72,3,9,Standard Loyal
CUST0000221,111,3,11,3,6613.01,2,8,Standard Loyal
CUST0000222,63,4,15,4,7212.47,3,11,Loyal Frequent
CUST0000223,22,5,12,3,3068.16,1,9,Standard Loyal
CUST0000224,7,5,12,3,8105.74,3,11,Standard Loyal
CUST0000225,10,5,17,4,8485.140000000001,3,12,Loyal Frequent
CUST0000226,17,5,11,3,4809.99,2,10,Standard Loyal
CUST0000227,55,4,17,4,21793.219999999998,5,13,Champions
CUST0000228,4,5,7,2,26674.93,5,12,High-Value Loyal
CUST0000229,16,5,15,4,8226.75,3,12,Loyal Frequent
CUST0000230,47,4,13,3,8986.2,3,10,Standard Loyal
CUST0000231,31,4,15,4,6716.7,2,10,Loyal Frequent
CUST0000232,13,5,14,4,7937.849999999999,3,12,Loyal Frequent
CUST0000233,100,3,7,2,2211.96,1,6,Standard Loyal
CUST0000234,109,3,12,3,8364.97,3,9,Standard Loyal
CUST0000235,22,5,17,4,8782.25,3,12,Loyal Frequent
CUST0000236,28,5,10,3,4315.38,1,9,Standard Loyal
CUST0000237,4,5,16,4,3611.32,1,10,Loyal Frequent
CUST0000238,0,5,16,4,18120.420000000002,5,14,Champions
CUST0000239,63,4,15,4,9533.18,3,11,Loyal Frequent
CUST0000240,182,2,14,4,4492.73,2,8,At-Risk Standard
CUST0000241,26,5,15,4,7407.99,3,12,Loyal Frequent
CUST0000242,41,4,12,3,14953.59,4,11,High-Value Loyal
CUST0000243,30,5,10,3,4684.5,2,10,Standard Loyal
CUST0000244,15,5,13,3,4875.65,2,10,Standard Loyal
CUST0000245,34,4,15,4,19342.66,5,13,Champions
CUST0000246,65,4,8,2,2332.9700000000003,1,7,Standard Loyal
CUST0000247,11,5,13,3,6072.94,2,10,Standard Loyal
CUST0000248,118,3,7,2,4107.75,1,6,Standard Loyal
CUST0000249,11,5,11,3,8627.84,3,11,Standard Loyal
CUST0000250,19,5,10,3,3797.58,1,9,Standard Loyal
CUST0000251,10,5,18,5,16918.35,5,15,Champions
CUST0000252,107,3,5,2,812.3199999999999,1,6,Standard Loyal
CUST0000253,12,5,8,2,7007.03,2,9,Standard Loyal
CUST0000254,6,5,14,4,8301.71,3,12,Loyal Frequent
CUST0000255,90,4,14,4,4641.7,2,10,Loyal Frequent
CUST0000256,35,4,13,3,6965.52,2,9,Standard Loyal
CUST0000257,3,5,13,3,6545.94,2,10,Standard Loyal
CUST0000258,8,5,11,3,7701.87,3,11,Standard Loyal
CUST0000259,9,5,13,3,10699.2,4,12,High-Value Loyal
CUST0000260,45,4,10,3,6257.2699999999995,2,9,Standard Loyal
CUST0000261,0,5,9,2,15542.86,5,12,High-Value Loyal
CUST0000262,99,3,8,2,4452.92,2,7,Standard Loyal
CUST0000263,7,5,15,4,9510.199999999999,3,12,Loyal Frequent
CUST0000264,52,4,14,4,7269.6,3,11,Loyal Frequent
CUST0000265,255,2,12,3,3164.52,1,6,At-Risk Standard
CUST0000266,5,5,14,4,13767.97,4,13,Champions
CUST0000267,5,5,13,3,10426.91,3,11,Standard Loyal
CUST0000268,26,5,14,4,11464.61,4,13,Champions
CUST0000269,116,3,13,3,12804.66,4,10,High-Value Loyal
CUST0000270,79,4,2,2,226.44,1,7,Standard Loyal
CUST0000271,74,4,11,3,10645.28,4,11,High-Value Loyal
CUST0000272,18,5,22,5,11131.22,4,14,Champions
CUST0000273,1,5,15,4,5757.9,2,11,Loyal Frequent
CUST0000274,114,3,12,3,4534.89,2,8,Standard Loyal
CUST0000275,6,5,7,2,4245.02,1,8,Standard Loyal
CUST0000276,52,4,8,2,9315.83,3,9,Standard Loyal
CUST0000277,23,5,14,4,14850.189999999999,4,13,Champions
CUST0000278,11,5,12,3,10789.68,4,12,High-Value Loyal
CUST0000279,52,4,8,2,2391.85,1,7,Standard Loyal
CUST0000280,47,4,16,4,8891.5,3,11,Loyal Frequent
CUST0000281,2,5,12,3,6615.05,2,10,Standard Loyal
CUST0000282,31,4,11,3,9060.97,3,10,Standard Loyal
CUST0000283,9,5,14,4,13447.3,4,13,Champions
CUST0000284,2,5,15,4,5319.29,2,11,Loyal Frequent
CUST0000285,70,4,8,2,6442.34,2,8,Standard Loyal
CUST0000286,17,5,11,3,12163.19,4,12,High-Value Loyal
CUST0000287,57,4,13,3,3290.83,1,8,Standard Loyal
CUST0000288,6,5,13,3,10311.19,3,11,Standard Loyal
CUST0000289,32,4,10,3,7953.08,3,10,Standard Loyal
CUST0000290,4,5,8,2,3637.18,1,8,Standard Loyal
CUST0000291,60,4,13,3,9176.0,3,10,Standard Loyal
CUST0000292,138,3,10,3,11899.1,4,10,High-Value Loyal
CUST0000293,1,5,11,3,9896.699999999999,3,11,Standard Loyal
CUST0000294,68,4,9,2,1727.1100000000001,1,7,Standard Loyal
CUST0000295,108,3,17,4,20675.67,5,12,High-Value Loyal
CUST0000296,11,5,16,4,7858.71,3,12,Loyal Frequent
CUST0000297,88,4,10,3,5532.12,2,9,Standard Loyal
CUST0000298,55,4,11,3,6431.97,2,9,Standard Loyal
CUST0000299,96,3,9,2,8699.779999999999,3,8,Standard Loyal
CUST0000300,56,4,17,4,6797.5,2,10,Loyal Frequent
CUST0000301,6,5,15,4,7120.139999999999,2,11,Loyal Frequent
CUST0000302,18,5,16,4,7713.96,3,12,Loyal Frequent
CUST0000303,31,4,10,3,2717.83,1,8,Standard Loyal
CUST0000304,51,4,10,3,5868.14,2,9,Standard Loyal
CUST0000305,16,5,10,3,2296.81,1,9,Standard Loyal
CUST0000306,18,5,18,5,11300.869999999999,4,14,Champions
CUST0000307,93,3,7,2,2354.67,1,6,Standard Loyal
CUST0000308,4,5,17,4,12536.34,4,13,Champions
CUST0000309,136,3,6,2,807.8,1,6,Standard Loyal
CUST0000310,67,4,11,3,3234.62,1,8,Standard Loyal
CUST0000311,23,5,18,5,11767.269999999999,4,14,Champions
CUST0000312,1,5,11,3,3859.31,1,9,Standard Loyal
CUST0000313,25,5,14,4,12494.78,4,13,Champions
CUST0000314,7,5,14,4,5131.87,2,11,Loyal Frequent
CUST0000315,6,5,10,3,6483.72,2,10,Standard Loyal
CUST0000316,37,4,14,4,12954.449999999999,4,12,High-Value Loyal
CUST0000317,95,3,9,2,2445.47,1,6,Standard Loyal
CUST0000318,56,4,6,2,2130.02,1,7,Standard Loyal
CUST0000319,16,5,19,5,8776.74,3,13,Champions
CUST0000320,27,5,8,2,9214.93,3,10,Standard Loyal
CUST0000321,6,5,12,3,4852.6,2,10,Standard Loyal
CUST0000322,103,3,11,3,3155.2,1,7,Standard Loyal
CUST0000323,44,4,16,4,17939.97,5,13,Champions
CUST0000324,15,5,16,4,6034.62,2,11,Loyal Frequent
CUST0000325,13,5,12,3,3499.8500000000004,1,9,Standard Loyal
CUST0000326,67,4,6,2,3425.5499999999997,1,7,Standard Loyal
CUST0000327,43,4,5,2,1594.42,1,7,Standard Loyal
CUST0000328,47,4,11,3,8351.43,3,10,Standard Loyal
CUST0000329,34,4,15,4,9857.29,3,11,Loyal Frequent
CUST0000330,45,4,11,3,7347.6900000000005,3,10,Standard Loyal
CUST0000331,38,4,16,4,9073.52,3,11,Loyal Frequent
CUST0000332,39,4,10,3,7740.29,3,10,Standard Loyal
CUST0000333,43,4,14,4,9220.71,3,11,Loyal Frequent
CUST0000334,139,3,7,2,5861.540000000001,2,7,Standard Loyal
CUST0000335,94,3,10,3,6232.92,2,8,Standard Loyal
CUST0000336,98,3,14,4,2604.71,1,8,Loyal Frequent
CUST0000337,130,3,7,2,1055.12,1,6,Standard Loyal
CUST0000338,17,5,8,2,1875.63,1,8,Standard Loyal
CUST0000339,11,5,10,3,8085.33,3,11,Standard Loyal
CUST0000340,71,4,12,3,10402.970000000001,3,10,Standard Loyal
CUST0000341,10,5,12,3,9590.9,3,11,Standard Loyal
CUST0000342,65,4,11,3,11168.7,4,11,High-Value Loyal
CUST0000343,11,5,13,3,10451.74,3,11,Standard Loyal
CUST0000344,15,5,11,3,13886.53,4,12,High-Value Loyal
CUST0000345,32,4,16,4,11370.070000000002,4,12,High-Value Loyal
CUST0000346,6,5,21,5,10868.210000000001,4,14,Champions
CUST0000347,35,4,10,3,6489.3,2,9,Standard Loyal
CUST0000348,17,5,14,4,4233.5,1,10,Loyal Frequent
CUST0000349,0,5,9,2,3169.69,1,8,Standard Loyal
CUST0000350,13,5,18,5,11957.32,4,14,Champions
CUST0000351,118,3,10,3,5165.93,2,8,Standard Loyal
CUST0000352,27,5,15,4,5647.65,2,11,Loyal Frequent
CUST0000353,49,4,9,2,3709.2799999999997,1,7,Standard Loyal
CUST0000354,26,5,6,2,1377.5900000000001,1,8,Standard Loyal
CUST0000355,10,5,14,4,3312.27,1,10,Loyal Frequent
CUST0000356,38,4,8,2,6672.19,2,8,Standard Loyal
CUST0000357,63,4,9,2,12236.3,4,10,High-Value Loyal
CUST0000358,38,4,15,4,10192.91,3,11,Loyal Frequent
CUST0000359,47,4,11,3,11131.4,4,11,High-Value Loyal
CUST0000360,1,5,7,2,5870.650000000001,2,9,Standard Loyal
CUST0000361,59,4,14,4,14107.36,4,12,High-Value Loyal
CUST0000362,26,5,14,4,10916.9,4,13,Champions
CUST0000363,39,4,9,2,7812.42,3,9,Standard Loyal
CUST0000364,70,4,16,4,8897.07,3,11,Loyal Frequent
CUST0000365,44,4,8,2,2382.98,1,7,Standard Loyal
CUST0000366,18,5,10,3,15337.329999999998,5,13,High-Value Loyal
CUST0000367,19,5,17,4,19758.51,5,14,Champions
CUST0000368,17,5,24,5,25107.92,5,15,Champions
CUST0000369,185,2,10,3,8174.5199999999995,3,8,At-Risk Standard
CUST0000370,35,4,16,4,22477.77,5,13,Champions
CUST0000371,167,3,12,3,7489.700000000001,3,9,Standard Loyal
CUST0000372,24,5,21,5,16824.260000000002,5,15,Champions
CUST0000373,58,4,14,4,9863.64,3,11,Loyal Frequent
CUST0000374,30,5,10,3,12421.85,4,12,High-Value Loyal
CUST0000375,90,4,8,2,3267.46,1,7,Standard Loyal
CUST0000376,57,4,20,5,7866.73,3,12,Loyal Frequent
CUST0000377,114,3,18,5,15137.369999999999,5,13,High-Value Loyal
CUST0000378,43,4,16,4,12618.07,4,12,High-Value Loyal
CUST0000379,78,4,12,3,7987.880000000001,3,10,Standard Loyal
CUST0000380,48,4,18,5,9135.05,3,12,Loyal Frequent
CUST0000381,2,5,13,3,7546.46,3,11,Standard Loyal
CUST0000382,32,4,16,4,7275.28,3,11,Loyal Frequent
CUST0000383,108,3,10,3,2557.12,1,7,Standard Loyal
CUST0000384,105,3,14,4,6667.74,2,9,Loyal Frequent
CUST0000385,25,5,11,3,2515.65,1,9,Standard Loyal
CUST0000386,111,3,16,4,10880.39,4,11,High-Value Loyal
CUST0000387,29,5,8,2,8783.5,3,10,Standard Loyal
CUST0000388,145,3,9,2,6459.55,2,7,Standard Loyal
CUST0000389,17,5,6,2,3193.62,1,8,Standard Loyal
CUST0000390,77,4,12,3,12846.019999999999,4,11,High-Value Loyal
CUST0000391,15,5,9,2,3603.58,1,8,Standard Loyal
CUST0000392,3,5,12,3,9870.77,3,11,Standard Loyal
CUST0000393,13,5,13,3,16533.47,5,13,High-Value Loyal
CUST0000394,1,5,16,4,8658.69,3,12,Loyal Frequent
CUST0000395,28,5,20,5,8125.9400000000005,3,13,Champions
CUST0000396,89,4,9,2,7796.65,3,9,Standard Loyal
CUST0000397,16,5,16,4,8337.91,3,12,Loyal Frequent
CUST0000398,49,4,15,4,14811.17,4,12,High-Value Loyal
CUST0000399,76,4,12,3,14617.23,4,11,High-Value Loyal
CUST0000400,15,5,14,4,11641.33,4,13,Champions
CUST0000401,66,4,11,3,4737.66,2,9,Standard Loyal
CUST0000402,85,4,17,4,9492.65,3,11,Loyal Frequent
CUST0000403,81,4,13,3,5456.37,2,9,Standard Loyal
CUST0000404,3,5,13,3,19038.22,5,13,High-Value Loyal
CUST0000405,39,4,13,3,8812.99,3,10,Standard Loyal
CUST0000406,117,3,12,3,4831.02,2,8,Standard Loyal
CUST0000407,12,5,8,2,16010.91,5,12,High-Value Loyal
CUST0000408,0,5,16,4,12217.21,4,13,Champions
CUST0000409,20,5,13,3,3428.29,1,9,Standard Loyal
CUST0000410,24,5,16,4,18761.57,5,14,Champions
CUST0000411,45,4,11,3,9409.779999999999,3,10,Standard Loyal
CUST0000412,8,5,18,5,4314.66,1,11,Loyal Frequent
CUST0000413,61,4,13,3,12648.35,4,11,High-Value Loyal
CUST0000414,3,5,7,2,1809.06,1,8,Standard Loyal
CUST0000415,41,4,17,4,11351.47,4,12,High-Value Loyal
CUST0000416,23,5,8,2,4861.59,2,9,Standard Loyal
CUST0000417,5,5,8,2,5383.56,2,9,Standard Loyal
CUST0000418,7,5,10,3,7036.619999999999,2,10,Standard Loyal
CUST0000419,22,5,12,3,7603.9800000000005,3,11,Standard Loyal
CUST0000420,8,5,14,4,12394.37,4,13,Champions
CUST0000421,349,2,3,2,236.36,1,5,At-Risk Standard
CUST0000422,24,5,18,5,11719.52,4,14,Champions
CUST0000423,144,3,14,4,9405.62,3,10,Loyal Frequent
CUST0000424,36,4,12,3,1778.41,1,8,Standard Loyal
CUST0000425,30,5,11,3,9553.6,3,11,Standard Loyal
CUST0000426,56,4,13,3,6103.59,2,9,Standard Loyal
CUST0000427,22,5,19,5,10565.31,3,13,Champions
CUST0000428,1,5,11,3,5887.41,2,10,Standard Loyal
CUST0000429,67,4,16,4,20898.72,5,13,Champions
CUST0000430,25,5,16,4,9149.49,3,12,Loyal Frequent
